fppc,det rate,tp,fp,fn,map,map_50,image_id,precision,recall,f1
0.0,0.66667,2.0,0.0,1.0,0.2158415913581848,0.6633663177490234,200021869-00003_1,1.0,0.6666666666666666,0.8
0.0,1.0,184.0,0.0,0.0,0.4948638677597046,0.5445544719696045,umgy011-031,1.0,1.0,1.0
0.00338,1.0,296.0,1.0,0.0,0.3034720420837402,0.3366336524486542,200021660-00077_1,0.9966329966329966,1.0,0.9983136593591906
0.0,1.0,153.0,0.0,0.0,0.590787947177887,0.6534653306007385,200003076_00004_2,1.0,1.0,1.0
0.02703,0.99459,368.0,10.0,2.0,0.2435619831085205,0.2772277295589447,brsk002-060,0.9735449735449735,0.9945945945945946,0.983957219251337
0.01807,0.98795,164.0,3.0,2.0,0.5024349093437195,0.603960394859314,200021853-00025_2,0.9820359281437125,0.9879518072289156,0.984984984984985
0.00752,0.99248,132.0,1.0,1.0,0.6607078909873962,0.7524752616882324,100249416_00009_2,0.9924812030075187,0.9924812030075187,0.9924812030075187
0.01374,0.99176,361.0,5.0,3.0,0.2422769367694854,0.2772277295589447,brsk002-047,0.9863387978142076,0.9917582417582418,0.989041095890411
0.0,0.96117,99.0,0.0,4.0,0.8054291009902954,0.9298794269561768,100249371_00005_2,1.0,0.9611650485436893,0.9801980198019802
0.035,1.0,200.0,7.0,0.0,0.4481248557567596,0.5049505233764648,umgy004-024,0.966183574879227,1.0,0.9828009828009828
0.01075,0.99462,185.0,2.0,1.0,0.4859159588813782,0.5346534848213196,hnsd008-025,0.9893048128342246,0.9946236559139785,0.9919571045576406
0.00971,0.98058,101.0,1.0,2.0,0.7966259717941284,0.9603960514068604,umgy007-011,0.9901960784313726,0.9805825242718447,0.9853658536585367
0.01325,0.99669,301.0,4.0,1.0,0.2937838137149811,0.3215841948986053,200014740-00069_2,0.9868852459016394,0.9966887417218543,0.9917627677100495
0.01042,1.0,96.0,1.0,0.0,0.8487427830696106,1.0,200021660-00075_1,0.9896907216494846,1.0,0.9948186528497409
0.00284,1.0,352.0,1.0,0.0,0.238484501838684,0.2871287167072296,brsk005-029,0.9971671388101983,1.0,0.9985815602836879
0.0,0.99515,205.0,0.0,1.0,0.4315289855003357,0.4851485192775726,hnsd004-014,1.0,0.9951456310679612,0.9975669099756691
0.0,1.0,134.0,0.0,0.0,0.6726227402687073,0.7425742745399475,100241706_00017_1,1.0,1.0,1.0
0.0099,1.0,202.0,2.0,0.0,0.4580295979976654,0.4950495064258575,200015779_00107_1,0.9901960784313726,1.0,0.9950738916256158
0.00493,0.99507,202.0,1.0,1.0,0.4508185982704162,0.4823762476444244,200003076_00107_2,0.9950738916256158,0.9950738916256158,0.9950738916256159
0.0,1.0,135.0,0.0,0.0,0.6748027205467224,0.7425742745399475,100241706_00018_2,1.0,1.0,1.0
0.00833,0.98611,355.0,3.0,5.0,0.2380399852991104,0.2772277295589447,brsk001-023,0.9916201117318436,0.9861111111111112,0.9888579387186631
0.01786,0.99702,335.0,6.0,1.0,0.2701321244239807,0.2970297038555145,200014685-00019_2,0.9824046920821115,0.9970238095238095,0.9896602658788773
0.01183,1.0,169.0,2.0,0.0,0.5379114747047424,0.594059407711029,200021712-00073_1,0.9883040935672515,1.0,0.9941176470588234
0.00798,1.0,376.0,3.0,0.0,0.2251622229814529,0.2673267424106598,brsk005-016,0.9920844327176781,1.0,0.9960264900662251
